name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_atسوق مركز كركوك الشعبي,مركز المدينة، 12 جسر مشاة الشهداء، كركوك،,,,113.0,4.1,سوق, · يغلق عند الساعة ٧ م
Prime Store,"Frya Mall 2nd Floor, Al-Jumhurya Street, Kirkuk, Kirkuk Governorate, 66001",,0780 071 5145,34,4.9,متجر أجهزة إلكترونية, · يغلق عند الساعة ٧ م
كركوك ستي مول,F9CM+GQF، شارع الجمهورية، كركوك، كركوك محافظة,,,133,3.8,مركز تسوق, · يغلق عند الساعة ٧ م
OUTDOOR COMMUNITY,"OLD GOVERNORATE STREET, Province St, Kirkuk, Kirkuk Governorate, 36006",outdoor-community.net,0783 491 0797,90,4.1,سوق ملابس, · يغلق عند الساعة ١١ م
Miniso Kirkuk,F95J+3MP، كركوك، كركوك محافظة,facebook.com,,24,4.6,سوق,
Master Store Kirkuk -Apple Premium Reseller & Authorised Service Provider,kirkuk mall، كركوك، كركوك محافظة، 36001,masterstoreiq.com,0772 618 0662,6,4.3,متجر إصلاح هواتف الجوّال, · يغلق عند الساعة ١ ص
ماکسي مول,F95J+9HM، طريق بغداد، كركوك، كركوك محافظة,paulmark.com.tr,0771 691 0226,158,3.8,متجر الملابس, · يغلق عند الساعة ١١ م
عالم التراكسوت,"Abu Hanifa Binasi, Kirkuk, Kirkuk Governorate",,,2,4.0,متجر ملابس,
Anka mall,C9RH+F8J، طريق بغداد، كركوك،، كركوك,,0770 823 2368,50,3.5,متجر ملابس, · يغلق عند الساعة ١٠ م
المتوكل للتسوق المنزلي فرع شارع الاحتفالات,C9H7+5MR، كركوك، كركوك محافظة,,,243,4.0,سوبرماركت, · يغلق عند الساعة ١٠ م
ankido انكيدو,C9PH+F5G، طريق بغداد، كركوك، كركوك محافظة,ankidouomo.com,,13.0,4.7,متجر ملابس رجالي, · يغلق عند الساعة ١١ م
Shopping Shop,"Bahu Street, Kirkuk, Kirkuk Governorate",shoppingshop.com,0772 334 1881,1.0,5.0,متجر ملابس, · يغلق عند الساعة ١١ م
مجمع مريم ستايل فرع كركوك,C9PC+45J، شارع القدس، كركوك، كركوك محافظة,,0773 025 7484,43.0,3.8,متجر ملابس, · يغلق عند الساعة ١٠ م
Zühre Kerkük,"F9JJ+485, Kirkuk, Kirkuk Governorate",,0770 937 3475,5.0,5.0,متجر ملابس, · يغلق عند الساعة ١٠ م
Beirut Fashion,F95J+8R5، طريق بغداد، كركوك، كركوك محافظة,,0750 208 8494,4.0,4.5,متجر ملابس, · يغلق عند الساعة ١١ م
عالم التراكسوت,"Abu Hanifa Binasi, Kirkuk, Kirkuk Governorate",,,2.0,4.0,متجر ملابس,
SABAYA FASHION,بجانب مثلجات عشتار، شارع محافظة، كركوك، كركوك محافظة، 34006,sabayafashion1.com,0770 131 4880,2.0,3.0,متجر,
LANDMARKKIRKUK,F92P+JMF، شارع الكورنيش، كركوك، كركوك محافظة,,0751 104 9454,1.0,5.0,متجر ملابس,
LC WAIKIKI,"Mall of Kirkuk, Bagdad Street, طريق بغداد، كركوك",corporate.lcwaikiki.com,0750 200 7929,12.0,4.0,متجر الملابس, · يغلق عند الساعة ١٢ ص
Anka mall,C9RH+F8J، طريق بغداد، كركوك،، كركوك,,0770 823 2368,50.0,3.5,متجر ملابس, · يغلق عند الساعة ١٠ م
OUTDOOR COMMUNITY,"OLD GOVERNORATE STREET, Province St, Kirkuk, Kirkuk Governorate, 36006",outdoor-community.net,0783 491 0797,90.0,4.1,سوق ملابس, · يغلق عند الساعة ١١ م
ماکسي مول,F95J+9HM، طريق بغداد، كركوك، كركوك محافظة,paulmark.com.tr,0771 691 0226,158.0,3.8,متجر الملابس, · يغلق عند الساعة ١١ م
النمور فرع كركوك,C9PF+FQQ، كركوك، كركوك محافظة,instagram.com,0786 683 4480,4.0,3.3,متجر ملابس, · يغلق عند الساعة ١١ م
Abood Collection,"F98H+MX2, Kirkuk, Kirkuk Governorate",,0770 184 3218,,,متجر ملابس, · يغلق عند الساعة ٦:٣٠ م
بوليفارد كركوك,C9VJ+Q59، كركوك، كركوك محافظة,m.facebook.com,,589.0,4.0,مركز تسوق, · يغلق عند الساعة ١٢ ص
MUStafa Fashion,F9G9+5HV، كركوك، كركوك محافظة,,,1.0,5.0,محل لملابس السهرة للرجال,
التاج للزي العربي,شارع سينماء الحمراء، كركوك، كركوك محافظة,,0770 936 1533,2.0,5.0,متجر, · يغلق عند الساعة ٨ م
Ahmed.STV,قرب بوليفارد، كركوك،، كركوك محافظة، 00964,instagram.com,0770 187 1844,22.0,4.5,متجر ملابس, · يغلق عند الساعة ١٠ م
Markamall,F94M+782، F94J+9PQ طريق بغداد، شارع المحافظة، كركوك، كركوك محافظة، 36001,,0751 810 4193,10.0,4.5,متجر الملابس, · يغلق عند الساعة ١١ م
Polo Vito,F9CP+P39، Unnamed Road، كركوك,,0770 976 6555,19.0,4.3,متجر ملابس, · يغلق عند الساعة ٩ م
Darchin Supermarket,"H9CP+94M, Sulaymaniyah, Sulaymaniyah Governorate",,,35,4.5,سوبرماركت, · يغلق عند الساعة ١٢ ص
ماركت العالمية,F95M+9H7، شارع الكورنيش، قرب جسر الولادة، كركوك، كركوك محافظة,,0770 137 1725,73,4.2,سوبرماركت, · يغلق عند الساعة ١١:٣٠ م
Super Market Yusuf Kuzeci,"C9JH+CHQ, Unnamed Road, كركوك",,,21,4.7,سوبرماركت, · يغلق عند الساعة ١١ م
سوبر ماركت سلسبيل,F9PC+F33، كركوك، كركوك محافظة,,0751 093 2761,327,3.7,سوبرماركت, · يغلق عند الساعة ١٠ م
ماركت ميران للتسوق,"مقابل اعدادیة الماس, Kirkuk, Kirkuk Governorate",,,47,4.1,سوبرماركت, · يغلق عند الساعة ١١ م
Bero Bazzar - بێرۆ بازاڕ,"فلكة اخوان, Kirkuk, Kirkuk Governorate, 36001",,0770 197 6688,37,4.1,سوق ضخمة, · يغلق عند الساعة ١٢:٣٠ ص
Supermarket Mohammed,F95J+3X8، كركوك، كركوك محافظة,,,7,2.7,متجر بقالة, · يغلق عند الساعة ١ ص
Sultan Market اسواق سوڵتان,"F9HC+R5W Filaq, Kirkuk, Kirkuk Governorate",,,2,3.0,سوبرماركت,
اسواق جەنگۆ,"CCQ7+PJF, Unnamed Road, Kirkuk",,0751 855 2731,1,5.0,سوبرماركت, · يغلق عند الساعة ١٢ ص
ماركت التساهل,"F96M+F28, Kirkuk, Kirkuk Governorate",,,22,3.8,متجر بقالة, · يغلق عند الساعة ١١ م
سوبر ماركيت غندوره,C9HF+MRP، طريق بغداد، كركوك، كركوك محافظة,,0770 353 5212,118,3.8,سوبرماركت, · يغلق عند الساعة ٨ م
شه‌ماڵ,"G92V+GHC, Unnamed Road, Kirkuk",,0771 885 1981,6,5.0,سوبرماركت, · يغلق عند الساعة ١١:٤٥ م
اسواق عبد الله,F958+QRX، كركوك، كركوك محافظة,,,15,3.9,سوبرماركت,
طرشي المدينة,"F97G+GR7, Kirkuk, Kirkuk Governorate",,0770 208 2384,4,5.0,متجر بقالة, · يغلق عند الساعة ٩ م
أسواق مصطفى,F959+C4، كركوك، كركوك محافظة,,,27,4.6,سوبرماركت,
ماركت محمد,"FCP7+883, Kirkuk, Kirkuk Governorate",,,247,3.5,سوبرماركت, · يغلق عند الساعة ١٠ م
سوبرماركت المتوكل فرع شارع القدس,شارع قدس، شارع القدس، كركوك، كركوك محافظة,,0770 171 7965,236,3.8,مركز تسوق, · يغلق عند الساعة ١١ م
مجمع مول كركوك,36001 شارع محافظة، كركوك، كركوك محافظة,mallofkirkuk.com,,1241,4.1,مركز تسوق, · يغلق عند الساعة ١٢ ص
دريم ستور,F94P+83X، كركوك، كركوك محافظة,,,35,3.9,سوبرماركت,
ماركێت رەهێل,F9F6+RQ6، كركوك، كركوك محافظة,,,31,4.5,سوبرماركت,
أسواق المصطفى,C9J9+WPQ، كركوك، كركوك محافظة,,,63.0,3.9,سوبرماركت, · يغلق عند الساعة ١٢ ص
IBO MINI MARKET,"C96F+QRV, Unnamed Road, Kirkuk, Kirkuk Governorate",,,2.0,5.0,متجر بقالة,
Super Market Yusuf Kuzeci,"C9JH+CHQ, Unnamed Road, كركوك",,,21.0,4.7,سوبرماركت, · يغلق عند الساعة ١١ م
أسواق النعيمي,"98XR+C92, Unnamed Road, Kirkuk",,,24.0,4.4,سوبرماركت, · يغلق عند الساعة ٥ م
سوبر ماركت سلسبيل,F9PC+F33، كركوك، كركوك محافظة,,0751 093 2761,327.0,3.7,سوبرماركت, · يغلق عند الساعة ١٠ م
اسواق جەنگۆ,"CCQ7+PJF, Unnamed Road, Kirkuk",,0751 855 2731,1.0,5.0,سوبرماركت, · يغلق عند الساعة ١٢ ص
شه‌ماڵ,"G92V+GHC, Unnamed Road, Kirkuk",,0771 885 1981,6.0,5.0,سوبرماركت, · يغلق عند الساعة ١١:٤٥ م
Bero Bazzar - بێرۆ بازاڕ,"فلكة اخوان, Kirkuk, Kirkuk Governorate, 36001",,0770 197 6688,37.0,4.1,سوق ضخمة, · يغلق عند الساعة ١٢:٣٠ ص
ماركت التساهل,"F96M+F28, Kirkuk, Kirkuk Governorate",,,22.0,3.8,متجر بقالة, · يغلق عند الساعة ١١ م
ماركت العالمية,F95M+9H7، شارع الكورنيش، قرب جسر الولادة، كركوك، كركوك محافظة,,0770 137 1725,73.0,4.2,سوبرماركت, · يغلق عند الساعة ١١:٣٠ م
اسواق ما شاء الله,كركوك، كركوك محافظة,,0770 333 6688,173.0,4.0,سوبرماركت, · يغلق عند الساعة ١١ م
اسواق ما شاء الله,كركوك، كركوك محافظة,,0770 333 6688,173.0,4.0,سوبرماركت, · يغلق عند الساعة ١١ م
اسواق ابو عثمان القادسيه الاولى,CCHF+FJP، كركوك، كركوك محافظة,,0770 235 1937,22.0,3.8,سوبرماركت, · يغلق عند الساعة ١٢ ص
اسواق ابو عثمان القادسيه الاولى,CCHF+FJP، كركوك، كركوك محافظة,,0770 235 1937,22.0,3.8,سوبرماركت, · يغلق عند الساعة ١٢ ص
مارکێتی حەسەن,"CCRG+85R, Road، كركوك محافظة",,,6.0,4.7,سوبرماركت,
مارکێتی حەسەن,"CCRG+85R, Road، كركوك محافظة",,,6.0,4.7,سوبرماركت,
مارکێتی حەسەن,"CCRG+85R, Road، كركوك محافظة",,,6.0,4.7,سوبرماركت,
مارکێتی حەسەن,"CCRG+85R, Road، كركوك محافظة",,,6.0,4.7,سوبرماركت,
مارکێتی حەسەن,"CCRG+85R, Road، كركوك محافظة",,,6.0,4.7,سوبرماركت,
جوان للتجارة,F98H+MX2 قاطع c، 08.10 طريق، كركوك، كركوك محافظة,,0751 256 1265,1.0,5.0,سوبرماركت,
جوان للتجارة,F98H+MX2 قاطع c، 08.10 طريق، كركوك، كركوك محافظة,,0751 256 1265,1.0,5.0,سوبرماركت,
كركوك ازادي,"FCH6+MR9, Kirkuk, Kirkuk Governorate",,,1.0,5.0,سوپر مارکت,
كركوك ازادي,"FCH6+MR9, Kirkuk, Kirkuk Governorate",,,1.0,5.0,سوپر مارکت,
كركوك ازادي,"FCH6+MR9, Kirkuk, Kirkuk Governorate",,,1.0,5.0,سوپر مارکت,
كركوك ازادي,"FCH6+MR9, Kirkuk, Kirkuk Governorate",,,1.0,5.0,سوپر مارکت,
كركوك ازادي,"FCH6+MR9, Kirkuk, Kirkuk Governorate",,,1.0,5.0,سوپر مارکت,
مجمع مول كركوك,36001 شارع محافظة، كركوك، كركوك محافظة,mallofkirkuk.com,,1241.0,4.1,مركز تسوق, · يغلق عند الساعة ١٢ ص
مجمع مول كركوك,36001 شارع محافظة، كركوك، كركوك محافظة,mallofkirkuk.com,,1241.0,4.1,مركز تسوق, · يغلق عند الساعة ١٢ ص
مجمع مول كركوك,36001 شارع محافظة، كركوك، كركوك محافظة,mallofkirkuk.com,,1241.0,4.1,مركز تسوق, · يغلق عند الساعة ١٢ ص
مجمع مول كركوك,36001 شارع محافظة، كركوك، كركوك محافظة,mallofkirkuk.com,,1241.0,4.1,مركز تسوق, · يغلق عند الساعة ١٢ ص
مجمع مول كركوك,36001 شارع محافظة، كركوك، كركوك محافظة,mallofkirkuk.com,,1241.0,4.1,مركز تسوق, · يغلق عند الساعة ١٢ ص
مجمع مول كركوك,36001 شارع محافظة، كركوك، كركوك محافظة,mallofkirkuk.com,,1241.0,4.1,مركز تسوق, · يغلق عند الساعة ١٢ ص
سوق قيصرية كركوك,F99X+23C، Bulak Mehelasi، كركوك،، كركوك,,,34.0,4.3,بازار, · يغلق عند الساعة ٧ م
سوق قيصرية كركوك,F99X+23C، Bulak Mehelasi، كركوك،، كركوك,,,34.0,4.3,بازار, · يغلق عند الساعة ٧ م
سوق قيصرية كركوك,F99X+23C، Bulak Mehelasi، كركوك،، كركوك,,,34.0,4.3,بازار, · يغلق عند الساعة ٧ م
سوق قيصرية كركوك,F99X+23C، Bulak Mehelasi، كركوك،، كركوك,,,34.0,4.3,بازار, · يغلق عند الساعة ٧ م
ماركيت بروا,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوبرماركت,
ماركيت بروا,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوبرماركت,
ماركيت بروا,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوبرماركت,
ماركيت بروا,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوبرماركت,
اسواق جهاد,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,1.0,1.0,متجر بقالة,
اسواق جهاد,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,1.0,1.0,متجر بقالة,
اسواق حجي سلام واخوانه,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوبرماركت,
اسواق حجي سلام واخوانه,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوبرماركت,
اسواق حجي سلام واخوانه,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوبرماركت,
اسواق حجي سلام واخوانه,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوبرماركت,
اسواق حجي سلام واخوانه,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوبرماركت,
اسواق حجي سلام واخوانه,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوبرماركت,
الزوراء للتسوق المنزلي,9CQ4+HQF، كركوك، كركوك محافظة,,,,,صيدلية, · يغلق عند الساعة ١:٣٠ ص
سوق كركوك الاسبوعي الفرع الثاني,hafta bazar karsisi، كركوك، أربيل,,0770 851 1117,470.0,4.0,مقاول التجهيزات الداخلية, · يغلق عند الساعة ٥ م
سوق كركوك الاسبوعي الفرع الثاني,hafta bazar karsisi، كركوك، أربيل,,0770 851 1117,470.0,4.0,مقاول التجهيزات الداخلية, · يغلق عند الساعة ٥ م
سوق كركوك الاسبوعي الفرع الثاني,hafta bazar karsisi، كركوك، أربيل,,0770 851 1117,470.0,4.0,مقاول التجهيزات الداخلية, · يغلق عند الساعة ٥ م
سوق كركوك الاسبوعي الفرع الثاني,hafta bazar karsisi، كركوك، أربيل,,0770 851 1117,470.0,4.0,مقاول التجهيزات الداخلية, · يغلق عند الساعة ٥ م
سوق كركوك الاسبوعي الفرع الثاني,hafta bazar karsisi، كركوك، أربيل,,0770 851 1117,470.0,4.0,مقاول التجهيزات الداخلية, · يغلق عند الساعة ٥ م
سوق كركوك الاسبوعي الفرع الثاني,hafta bazar karsisi، كركوك، أربيل,,0770 851 1117,470.0,4.0,مقاول التجهيزات الداخلية, · يغلق عند الساعة ٥ م
Markety bako,"H86X+QJ4, New Bakrajo, Sulaymaniyah, Sulaymaniyah Governorate",,,5.0,4.8,سوبرماركت, · يغلق عند الساعة ١١ م
Markety bako,"H86X+QJ4, New Bakrajo, Sulaymaniyah, Sulaymaniyah Governorate",,,5.0,4.8,سوبرماركت, · يغلق عند الساعة ١١ م
Markety bako,"H86X+QJ4, New Bakrajo, Sulaymaniyah, Sulaymaniyah Governorate",,,5.0,4.8,سوبرماركت, · يغلق عند الساعة ١١ م
Markety bako,"H86X+QJ4, New Bakrajo, Sulaymaniyah, Sulaymaniyah Governorate",,,5.0,4.8,سوبرماركت, · يغلق عند الساعة ١١ م
Markety bako,"H86X+QJ4, New Bakrajo, Sulaymaniyah, Sulaymaniyah Governorate",,,5.0,4.8,سوبرماركت, · يغلق عند الساعة ١١ م
Markety bako,"H86X+QJ4, New Bakrajo, Sulaymaniyah, Sulaymaniyah Governorate",,,5.0,4.8,سوبرماركت, · يغلق عند الساعة ١١ م
بازاري حاجي,CCFG+GC7، كركوك، كركوك محافظة,,,2.0,3.5,,
بازاري حاجي,CCFG+GC7، كركوك، كركوك محافظة,,,2.0,3.5,,
بازاري حاجي,CCFG+GC7، كركوك، كركوك محافظة,,,2.0,3.5,,
بازاري حاجي,CCFG+GC7، كركوك، كركوك محافظة,,,2.0,3.5,,
أسواق العبدو,"F98H+MX2, Kirkuk, Kirkuk Governorate",,,,,سوپر مارکت,
